Designator,Mid X,Mid Y,Rotation,Layer
D1,85.09375,-57.15,0.0,top
D2,105.40625,-57.15,0.0,top
D3,85.09375,-37.225,0.0,top
D4,105.40625,-37.225,0.0,top
J1,113.49625,-66.79,0.0,top
SW3,69.6875,-24.10375,0.0,top
SW4,69.6875,-43.15375,0.0,top
SW5,119.69375,-43.15375,0.0,top
SW6,119.69375,-24.10375,0.0,top
U1,94.86,-22.9375,0.0,top
